Title,URL,Time,Abstrace,State
Penguins in Your Fridge? These 7-Year-Olds Have Climate Solutions.,https://www.nytimes.com/2023/06/15/climate/climate-education-schools-children.html,2023-06-15T17:36:55+0000,"New Jersey is the first state to require that climate change be taught at all grade levels. The focus is on problem solving, not doom and gloom.",New Jersey
POLLUTION CLEANUP THREATENED,https://www.nytimes.com/2002/07/07/nyregion/briefing-environment-pollution-cleanup-threatened.html,2002-07-07T05:00:00+0000,Bush administration proposes budget cuts that may affect as many as 10 Superfund pollution projects in New Jersey (S),New Jersey
WATER POLLUTION AGREEMENT,https://www.nytimes.com/2002/09/29/nyregion/briefing-environment-water-pollution-agreement.html,2002-09-29T05:00:00+0000,"State and federal Environmental Protection Agency officials reach agreement to set water pollution limits for New Jersey's farms, sewage treatment plants and industries (S)",New Jersey
Turning The Tide On Pollution,https://www.nytimes.com/2002/08/25/nyregion/turning-the-tide-on-pollution.html,2002-08-25T05:00:00+0000,"Article on slow comeback of New Jersey's Raritan River and its estuary, which have been targeted by federal government for renewal; federal officials hope to pump more than $100 million into project to provide flood protection and restore swath of wetlands; photos; map (L)",New Jersey
See What Canadian Wildfire Smoke Looked Like in 8 Places This Week,https://www.nytimes.com/interactive/2023/06/09/us/air-quality-smoke-cities-canada-us.html,2023-06-09T17:22:28+0000,Imagery from EarthCam shows how smoke from hundreds of wildfires in Canada enveloped cities in the Northeast and Midwest.,New Jersey
Power Plants Ranked High on Pollution List,https://www.nytimes.com/2006/07/28/nyregion/28mbrfs-006.html,2006-07-28T04:00:00+0000,"Two of the nation’s dirtiest electricity-generating stations are in New Jersey, and one is in New York, according to a pollution ranking released yesterday by the Environmental Integrity Project, a nonprofit environmental group based in Washington. The two New Jersey plants are coal-fired generators owned by Public Service Electric and Gas in Hamilton Township and Jersey City. Neil Brown, a company spokesman, said the rankings appeared to have been based on erroneous emissions rates. He said the company had eliminated tens of thousands of pounds of harmful emissions during the last few years. The sole New York plant on the nation’s dirtiest list is a coal-fired one owned by NRG Energy Inc. in Tonawanda, outside Buffalo. Meredith Moore, an NRG spokeswoman, said the company shut down two units at the Tonawanda station last year and switched to low-sulfur coal, which will reduce harmful emissions.",New Jersey
Old Story of Pollution; New Urgency This Time,https://www.nytimes.com/2010/02/01/nyregion/01towns.html,2010-02-01T01:02:51+0000,"A lesson from one polluted town in New Jersey: don’t wait, and don’t just get angry. Do something.",New Jersey
There’s Only One Way to Fix New York’s Traffic Gridlock,https://www.nytimes.com/2023/06/08/opinion/traffic-new-york-congestion.html,2023-06-08T09:00:46+0000,There’s no way out of the congestion without making drivers pay for taking up limited street space.,New Jersey
"Rapid Evolution Saved This Fish From Pollution, Study Says",https://www.nytimes.com/2016/12/09/science/atlantic-killifish-evolution-pollution.html,2016-12-09T15:57:28+0000,Distinct populations of Atlantic killifish developed adaptations that helped them survive in waters tainted by toxic leftovers of industrial manufacturing.,New Jersey
States Planning Own Lawsuits Over Pollution,https://www.nytimes.com/2003/11/09/us/states-planning-own-lawsuits-over-pollution.html,2003-11-09T05:00:00+0000,"Attorneys general of New York, New Jersey and Connecticut say they are ready to force power plants to make billions of dollars of pollution-control improvements now that Environmental Protection Agency has decided to drop investigations at old coal-fired plants, a major source of air pollution that drifts over Northeast; caution that states have far fewer resources than federal government to battle one of nation's most powerful industries and that they will have to focus their actions against fewer utilities; photos of Connecticut Atty Gen Richard Blumenthal, Democrat, and New York Atty Gen Eliot Spitzer, Democrat (L)",New Jersey
