Title,URL,Time,Abstrace,State
This Alaska Mine Would Destroy the World’s Largest Salmon Fishery,https://www.nytimes.com/2023/09/24/opinion/alaska-salmon-mine-court.html,2023-09-24T10:00:08+0000,The state’s governor has asked the Supreme Court to resurrect a widely opposed plan rejected by the federal government.,Alaska
Cleaning Up a Legacy of Pollution on an Alaskan Island,https://www.nytimes.com/2015/08/04/us/native-alaskans-study-and-clean-up-a-legacy-of-pollution.html,2015-08-03T09:00:46+0000,"On St. Lawrence Island, a former military listening post in the Bering Sea, native residents believe pollution has contributed to their poor health.",Alaska
Searching for Signs of Lingering Pollution in Alaska,https://www.nytimes.com/slideshow/2015/08/02/us/searching-for-signs-of-lingering-pollution-in-alaska.html,2015-08-03T09:00:38+0000,A group of researchers traveled to St. Lawrence Island in Alaska and withstood difficult conditions to study pollution caused by military sites from the Cold War days.,Alaska
Searching for Signs of Lingering Pollution in Alaska,https://www.nytimes.com/slideshow/2015/08/02/us/searching-for-signs-of-lingering-pollution-in-alaska.html,2015-08-03T13:46:18+0000,A group of researchers traveled to St. Lawrence Island in Alaska and withstood difficult conditions to study pollution caused by military sites from the Cold War days.,Alaska
National Briefing | West: Alaska: Pollution Settlement,https://www.nytimes.com/2001/09/07/us/national-briefing-west-alaska-pollution-settlement.html,2001-09-07T05:00:00+0000,national brie,Alaska
Alaska Gets Tougher On Cruise Ship Pollution,https://www.nytimes.com/2001/07/08/travel/travel-advisory-correspondent-s-report-alaska-gets-tougher-cruise-ship-pollution.html,2001-07-08T05:00:00+0000,New Alaska law expands state's authority to inspect cruises ships and to fine companies that pollute waters; Gov Tony Knowles had pressed for higher measure after voluntary tests last year found almost none of waste-water samples from ships met federal standards for fecal coliform bacteria and other pollutants; International Council of Cruise Lines promises cooperation (M),Alaska
"Hunting for Oil: New Precision, Less Pollution",https://www.nytimes.com/2001/01/30/science/hunting-for-oil-new-precision-less-pollution.html,2001-01-30T05:00:00+0000,"Oil drilling sites like those in Alpine field on Alaska's North Slope are using cutting-edge technology that reduce environmental damage; changes are being highlighted by the oil industry, Alaskan elected and Bush administration as evidence that oil quest should be allowed to expand east from Prudhoe Bay into coastal plain of Arctic National Wildlife Refuge; drawings; photo (L)",Alaska
A Far-Reaching Fire Makes a Point About Pollution,https://www.nytimes.com/2004/07/27/science/a-far-reaching-fire-makes-a-point-about-pollution.html,2004-07-27T05:00:00+0000,"Terra and Aqua, National Aeronautics and Space Administration satellites, track sooty remains of large Alaskan fire across United States; path of air pollution points out global implications of regional pollution (S)",Alaska
How Big of a Climate Betrayal Is the Willow Oil Project?,https://www.nytimes.com/2023/03/16/opinion/willow-oil-project-alaska-climate-change.html,2023-03-16T16:30:35+0000,The world wants to have it both ways on fossil fuels.,Alaska
Into the Gyre,https://www.nytimes.com/video/science/100000002385362/into-the-gyre.html,2013-08-13T16:09:27+0000,"A team of artists and scientists traveled to Alaska to document water pollution. Carl Safina, an ecologist and Mark Dion, an artist, talk about their observations from the trip.",Alaska
