Ranking,State
1,Vermont
2,New Hampshire
3,New Mexico
4,South Dakota
5,Maine
6,New York
7,California
8,Wyoming
9,Hawaii
10,Montana
11,Oregon
12,Rhode Island
13,Minnesota
14,Idaho
15,Washington
16,Maryland
17,Colorado
18,North Dakota
19,Connecticut
20,Massachusetts
21,Nebraska
22,Missouri
23,Oklahoma
24,Iowa
25,Georgia
26,Alaska
27,Arizona
28,Mississippi
29,Kentucky
30,Pennsylvania
31,New Jersey
32,Wisconsin
33,North Carolina
34,South Carolina
35,Florida
36,Virginia
37,Michigan
38,Illinois
39,Arkansas
40,West Virginia
41,Tennessee
42,Texas
43,Kansas
44,Utah
45,Ohio
46,Nevada
47,Delaware
48,Alabama
49,Indiana
50,Louisiana
